,clust,SAT,Top10,Accept,SFRatio,Expenses,GradRate,Univ,State
0,0,1310,89,22,13,22704,94,Brown,RI
1,2,1415,100,25,6,63575,81,CalTech,CA
2,0,1260,62,59,9,25026,72,CMU,PA
3,0,1310,76,24,12,31510,88,Columbia,NY
4,0,1280,83,33,13,21864,90,Cornell,NY
5,2,1340,89,23,10,32162,95,Dartmouth,NH
6,2,1315,90,30,12,31585,95,Duke,NC
7,0,1255,74,24,12,20126,92,Georgetown,DC
8,2,1400,91,14,11,39525,97,Harvard,MA
9,2,1305,75,44,7,58691,87,JohnsHopkins,MD
10,2,1380,94,30,10,34870,91,MIT,MA
11,0,1260,85,39,11,28052,89,Northwestern,IL
12,0,1255,81,42,13,15122,94,NotreDame,IN
13,1,1081,38,54,18,10185,80,PennState,PA
14,2,1375,91,14,8,30220,95,Princeton,NJ
15,1,1005,28,90,19,9066,69,Purdue,IN
16,2,1360,90,20,12,36450,93,Stanford,CA
17,1,1075,49,67,25,8704,67,TexasA&M,TX
18,0,1240,95,40,17,15140,78,UCBerkeley,CA
19,0,1290,75,50,13,38380,87,UChicago,IL
20,0,1180,65,68,16,15470,85,UMichigan,MI
21,0,1285,80,36,11,27553,90,UPenn,PA
22,0,1225,77,44,14,13349,92,UVA,VA
23,1,1085,40,69,15,11857,71,UWisconsin,WI
24,2,1375,95,19,11,43514,96,Yale,CT
